cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1,JMETJM,JMU1,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
87,62,Conversão de Separação Judicial em Divórcio,,,X,,,,,,,,,,,,,,,,,,,,
88,1198,Correição Parcial ou Reclamação Correicional,X,,,X,,,,,X,,,,,X,X,X,,,X,X,,,
89,62,Depósito da Lei 8. 866/94,,,X,,,,,X,,,,,,,,,,,,,,,
90,62,Desapropriação,,,X,,,,,X,,,,,,,,,,,,,,,
91,62,Desapropriação Imóvel Rural por Interesse Social,,,X,,,,,X,,,,,,,,,,,,,,,
92,62,Despejo,,,X,,,X,,X,,,,,,,,,,,,,,,
93,62,Despejo por Falta de Pagamento,,,X,,,,,X,,,,,,,,,,,,,,,
94,62,Despejo por Falta de Pagamento Cumulado Com Cobrança,,,X,,,,,X,,,,,,,,,,,,,,,
95,62,Direta de Inconstitucionalidade,,,,X,,,,,,,,,,,,,,,,,,,
96,62,Discriminatória,,,X,,,,,X,,,,,,,,,,,,,,,
97,62,Dissolução e Liquidação de Sociedade,,,X,,,,,X,,,,,,,,,,,,,,,
98,62,Divórcio Consensual,,,X,,,,,,,,,,,,,,,,,,,,
99,62,Divórcio Litigioso,,,X,,,,,,,,,,,,,,,,,,,,
100,62,Dúvida,,,X,,,,,X,,,,,,,,,,,,,,,
107,62,Expropriação da Lei 8.257/91,,,,,,,,X,,,,,,,,,,,,,,,
108,62,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",,,X,,,,,,,,,,,,,,,,,,,,
110,62,Habeas Data Cível,,,X,X,,,,X,X,,,,,X,X,X,X,X,X,X,,,
111,62,Habilitação de Crédito,,,X,,,,,,,,,,,,,,,,,,,,
112,62,Homologação de Transação Extrajudicial,,,X,,,X,,X,,,,,,,,,,X,,,,,
113,62,Imissão na Posse,,,X,,,,,X,,,,,,,,,,,,,,,
114,62,Impugnação de Crédito,,,X,,,,,,,,,,,,,,,,,,,,
115,62,Inquérito Extrajudicial,,,X,,,,,,,,,,,,,,,,,,,,
118,62,Mandado de Injunção,,,X,X,,,,,,,,,,,X,,,,,,,,
119,62,Mandado de Segurança Coletivo,,,X,X,,,,X,X,,,,,,,,,X,X,X,,,
120,62,Mandado de Segurança Cível,,,X,X,,,X,X,X,,X,X,X,X,X,,,X,X,X,,,
121,62,Naturalização,,,X,,,,,X,,,,,,,,,,,,,,,
122,62,Opção de Nacionalidade,,,,,,,,X,,,,,,,,,,,,,,,
123,62,Averiguação de Paternidade,,,X,,,,,,,,,,,,,,,,,,,,
124,62,Pedido de Resposta ou Retificação da Lei de Imprensa,,,X,,,,,X,,,,,,,,,,,,,,,
127,62,Protesto Formado a Bordo,,,X,,,,,X,,,,,,,,,,,,,,,
