cdigo,cd_pai,nome,CJF,CNJ,FTR,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTRU,JME,JME1,JMU,JMU1,JT1G,JT2G,JTTST,STF,STJ,TEU
11002,157,Revogação da Suspensão do Processo,,X,,,,X,X,,X,X,X,,,X,X,,,,,,,,
11003,48,Início do Cumprimento da Transação Penal,,,,,,X,X,,,,,,,,X,,,,,,,,
11008,48,Desmembramento de Feitos,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11009,1,Despacho,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11010,11009,Mero expediente,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11012,11025,Conflito de Competência,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,,X,
11013,11025,Convenção das Partes,,,X,X,X,X,X,X,X,X,X,,,X,X,,,X,X,X,,X,
11014,11025,Convenção das Partes para Cumprimento Voluntário da obrigação,,,,X,X,X,X,X,X,X,X,,,X,X,,,X,X,X,,X,
11015,11025,"Exceção de Incompetência, suspeição ou Impedimento",,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X
11016,11025,Exceção da Verdade,,,,X,X,,,,X,X,,,,X,X,,,,,,,,
11017,11025,Incidente de Insanidade Mental,,,,X,X,X,X,X,X,X,X,,,X,X,X,X,,,,,X,
11018,11025,Recebimento de Embargos à Execução,,,,X,X,X,X,X,X,X,,,,X,X,,,,,,,X,
11019,11009,Ordenação de entrega de autos,,,,X,X,X,X,X,X,,X,,,X,X,X,X,X,X,X,,X,
11020,11009,Requisição de Informações,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
11021,11009,Conversão,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11022,11021,Julgamento em Diligência,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11023,11009,Concessão,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
11024,11023,Assistência Judiciária Gratuita,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
11025,11009,Suspensão ou Sobrestamento,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11373,218,Anulação de sentença/acórdão,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
11374,456,Devedor não encontrado,,,,,,X,X,,,,X,,,,,,,,,,,,
11375,456,Inexistência de bens penhoráveis,,,,,,X,X,,,,X,,,,,,,,,,,,
11376,456,Ausência do autor à audiência,,,,,,X,X,,,,X,,,,,,,,,,,,
11377,456,Inadmissibilidade do procedimento sumaríssimo,,,,,,X,X,,,,X,,,,,,,,,,,,
11378,456,Incompetência territorial,,,,,,X,X,,,,X,,,,,,,,,,,,
11379,456,Incompetência em razão da pessoa,,,,,,X,X,,,,X,,,,,,,,,,,,
11380,456,Autor falecido e sem habilitação de sucessores,,,,,,X,X,,,,X,,,,,,,,,,,,
11381,456,Ausência de citação de sucessores do réu falecido,,,,,,X,X,,,,X,,,,,,,,,,,,
11382,1013,Bloqueio/penhora on line,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X
11383,48,Ato ordinatório,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11384,48,Liquidação iniciada,,,,X,,X,X,,X,X,,,,,X,,,X,X,X,,,
11385,48,Execução/Cumprimento de Sentença Iniciada (o),,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,,
11393,117,Sanção,,,,X,X,,,,,,,,,,,,,,,,,,
11395,817,Remissão ao Adolescente como Forma de Suspensão do Processo,,,,X,,,,,,,,,,,,,,,,,,,
11396,218,Concessão de remissão a adolescente com exclusão do processo,,,,X,,,,,,,,,,,,,,,,,,,
11401,385,Procedência do pedido e procedência do pedido contraposto,,,,X,,X,X,,,,,,,,,,,,,,,,
11402,385,Procedência do pedido e procedência em parte do pedido contraposto,,,,X,,X,X,,,,,,,,,,,,,,,,
11403,385,Procedência do pedido e improcedência do pedido contraposto,,,,X,,X,X,,,,,,,,,,,,,,,,
11404,385,Procedência em parte do pedido e procedência do pedido contraposto,,,,X,,X,X,,,,,,,,,,,,,,,,
11405,385,Procedência em parte do pedido e procedência em parte do pedido contraposto,,,,X,X,,,,,,,,,,,,,,,,,,
11406,385,Procedência em parte do pedido e improcedência do pedido contraposto,,,,X,,X,X,,,,,,,,,,,,,,,,
11407,385,Improcedência do pedido e procedência do pedido contraposto,,,,X,,X,X,,,,,,,,,,,,,,,,
11408,385,Improcedência do pedido e procedência em parte do pedido contraposto,,,,X,,X,X,,,,,,,,,,,,,,,,
11409,385,Improcedência do pedido e improcedência do pedido contraposto,,,,X,,X,X,,,,,,,,,,,,,,,,
11411,973,Cumprimento da suspensão condicional do processo,,,,X,X,X,X,,X,X,X,,,,X,,X,,,,,,
11415,817,Comutação da pena,,,,X,X,,,,X,X,,,,X,X,X,X,,,,X,X,
11423,817,Medida protetiva,,,,X,X,,,,,,,,,X,X,,,,,,X,X,
11424,888,Medida protetiva,,,,X,X,,,,,,,,,X,X,,,,,,X,X,
11425,968,Medida protetiva,,,,X,X,,,,,,,,,X,X,,,,,,X,X,
11426,157,Medida protetiva,,,,X,X,,,,,,,,,X,X,,X,,,,X,X,
11554,817,Indulto,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,,,
11792,3,Livramento Condicional,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,,
11795,385,Procedência do Pedido - Reconhecimento pelo réu,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,,,
11796,385,Declaração de competência em conflito,,,X,,X,,,X,,,,X,X,X,,X,,,X,,X,X,
11801,973,Reparação do dano,,,,,,,,,,,,,,X,X,X,X,,,,,,
11876,385,Absolvição Sumária do art. 397-CPP,,,X,X,X,,X,X,X,X,X,,,,X,,X,,,,,X,
11877,385,Absolvição sumária - crimes dolosos contra a vida,,,,X,X,,,,X,X,,,,,,,,,,,,X,
11878,973,Prescrição,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,,X,
11879,973,Decadência ou perempção,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,,X,
11975,25,Recurso Especial repetitivo,,,X,X,X,,X,X,X,X,X,,,X,,X,,X,X,X,,X,
11983,48,Retificação de movimento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
12028,973,Cumprimento de transação penal,,,X,X,X,,X,X,X,X,X,X,X,,X,,X,,,,,X,
12032,210,Exequatur,,,,,,,,,,,,,,,,,,,,,,X,
12033,385,Sentença Estrangeira,,,,,,,,,,,,,,,,,,,,,,X,
12034,385,Exequatur,,,,,,,,,,,,,,,,,,,,,,X,
12035,160,Representação por ato infracional,,,,X,X,,,,,,,,,,,,,,,,,,
12036,138,Representação por ato infracional,,,,X,X,,,,,,,,,,,,,,,,,,
12037,1013,Quebra de sigilo fiscal,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12038,1013,Quebra de sigilo bancário,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
12039,1013,Quebra de sigilo telemático,,,,X,X,X,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12040,1013,Indisponibilidade de bens,,,,X,X,,,,X,X,,,,,,,X,X,X,X,X,X,
12041,210,Recuperação judicial,,,,X,X,,,,,,,,,,,,,,,,,,
12065,48,Cumprimento de Suspensão ou Sobrestamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12066,48,Cumprimento de Levantamento da Suspensão ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12067,3,Levantamento da Suspensão ou Dessobrestamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12068,11009,Levantamento da Suspensão ou Dessobrestamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12092,3,Afetação ao rito dos recursos repetitivos ,,,,,X,,,,,X,,,,X,,,,,,X,,X,
12093,3,Desafetação ao rito dos recursos repetitivos ,,,,,X,,,,,X,,,,X,,,,,,X,,,
12094,206,Incidente de Resolução de demandas repetitivas (art. 981 e 982),,,,,X,,,,,X,,,,X,,X,,,X,X,,,
12095,207,Incidente de resolução de demandas repetitivas,,,,,X,,,,,X,,,,X,,X,,,X,X,,,
12096,206,Incidente de assunção de competência,,,,,X,,,,,X,,,,X,,,,,X,X,,,
12097,207,Incidente de assunção de competência ,,,,,X,,,,,X,,,,X,,,,,X,X,,,
12098,25,Incidente de Resolução de Demandas Repetitivas ,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X
12099,25,Por decisão do Presidente do STJ - SIRDR,,,,X,X,,,,X,X,,,,X,X,,,X,X,X,,,
12100,25,Por decisão do Presidente do STF - SIRDR,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,,X
12101,48,Inclusão do processo para julgamento eletrônico,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12102,48,"Adiamento do julgamento (CPC, art. 935)",X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,X
12103,48,Pauta,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12104,12103,Inclusão em pauta,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12105,12103,Inclusão em Pauta de Sessão Virtual,X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,X
12106,12103,Adiamento do Julgamento para a Primeira Sessão Seguinte,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12107,12105,Para análise de repercussão geral,,,,,,,,,,,,,,,,,,,,,X,,
12108,12104,Para análise de repercussão geral,,,,,,,,,,,,,,,,,,,,,X,,
12109,12105,Para análise da admissão do recurso repetitivo ,,,,,,,,,,,,,,,,,,,,X,X,X,
12110,12104,Para análise da admissão do recurso repetitivo ,,,,,,,,,,,,,,,,,,,,X,X,X,
12111,12104,Para análise da admissão do IRDR,,,,,X,,,,,X,,,,X,,,,,X,X,X,X,
12112,12105,Para análise da admissão do IRDR,,,,,X,,,,,X,,,,X,,,,,X,X,X,X,
12113,12105,Para análise da admissão do IAC,,,,,X,,,,,X,,,,X,,,,,X,,,,
12114,12104,Para análise da admissão do IAC,,,,,X,,,,,X,,,,X,,,,,X,X,,,
12115,12104,Para Julgamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12116,12105,Para Julgamento,,,,,X,,,,,X,,,,X,,,,,,X,X,X,
12140,7,Prisão em Flagrante em Prisão Preventiva,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12141,3,Relaxamento do Flagrante,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12142,48,Mudança de Parte,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,
12143,48,Mudança de Assunto Processual,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12144,3,Unificação e Soma de Penas,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12145,157,Detração/Remição,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12146,968,Liberdade Provisória,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12147,122,Domiciliar,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12148,817,Prisão Domiciliar,,,,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12149,817,Detração/Remição da Pena,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12150,11,Impedimento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12151,11,Suspeição,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12164,3,Outras Decisões,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12165,48,Requisição de Pagamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12166,12165,Precatório,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12167,12166,Enviada ao Tribunal,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12168,12166,Preparada para Envio,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12169,12166,Paga,X,,,X,X,X,X,X,X,X,X,,,X,X,,,X,X,X,,,
12170,12166,Cancelada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12171,12166,Retificado,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12172,12166,Suspensão,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12173,12165,Pequeno Valor,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12174,12173,Enviada ao Tribunal,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12175,12173,Preparada para Envio,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12176,12173,Paga,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X
12177,12173,Cancelada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12178,12173,Retificada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12179,12173,Suspensão,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12180,11395,Prestação de Serviços à Comunidade,,,,X,,,,,,,,,,,,,,,,,,,
12181,11395,Reparação do Dano,,,,X,,,,,,,,,,,,,,,,,,,
12182,11395,Liberdade Assistida,,,,X,,,,,,,,,,,,,,,,,,,
12183,11395,Justiça Restaurativa,,,,X,,,,,,,,,,,,,,,,,,,
12184,218,Suspensão Condicional do Processo,,,X,X,X,,X,X,X,X,X,,,,,,,,,,,X,
12185,3,Decisão Interlocutória de Mérito,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12186,48,Cancelamento de Distribuição,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
12187,385,Homologação de Decisão de Juiz Leigo,,,X,X,X,,X,X,X,X,X,,,,,,,,,,,X,
12188,1008,Recambiamento de Preso,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,,
12189,48,Entrega de Documento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12198,48,Deliberado em Sessão,X,X,X,,X,,X,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X
12199,12198,Julgado,X,X,X,,X,,,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X
12200,12199,Mérito,X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,,,X
12201,12199,Liminar,X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,,,X
12202,12199,Questão de Ordem,X,X,X,,X,,,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X
12203,12198,Adiado,X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,X
12204,12198,Pedido de Vista,X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,X
12205,12198,Retirado,,X,,,,,,,,,,,,,,,,,X,X,,,
12206,3,Ratificação,,X,,,,,,,,,,,,,,,,,,,,,
12207,12206,Liminar,,X,,,,,,,,,,,,,,,,,,,,,
12208,3,Não-Ratificação,,X,,,,,,,,,,,,,,,,,,,,,
12210,3,Ratificação em Parte,,X,,,,,,,,,,,,,,,,,,,,,
12212,12199,Prorrogação de PAD,,X,,,,,,,,,,,,,,,,,,,,,
12213,12206,Decisão Monocrática,,X,,,,,,,,,,,,,,,,,,,,,
12214,48,Processo Encaminhado,,X,,,,,,,,,,,,,,,,,,,,,
12215,48,Processo devolvido à Secretaria,,X,,,,,,,,,,,,,,,,,,,,,
12252,385,Sentença confirmada,,,,,X,,,,,X,,,,X,,X,,,,,,X,
12253,385,Sentença confirmada em parte,,,,,X,,,,,X,,,,X,,X,,,,,,X,
12254,385,Sentença desconstituída,,,X,,X,,,,X,X,X,X,X,X,,X,,,,,,X,
12255,1013,Redistribuição por prevenção,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12256,456,Continência,,X,,X,X,,X,,X,X,X,,,X,X,,,X,X,X,X,X,
12257,385,Definição de tese jurídica em incidentes repetitivos,,,,,X,,,,,X,,,,X,,X,,,X,X,X,X,
12258,385,Emissão de juízo de retratação pelo Órgão Julgador,,,X,,X,,,X,,X,X,X,X,X,,X,,,X,X,,X,
12259,25,"Prescrição intercorrente (art. 921, § 4º, CPC)",,,,X,X,,,,X,X,,,,,,,,X,X,X,,X,
12260,48,Autos restaurados,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12261,160,Emenda a inicial,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,X,X,
12263,48,Intimação,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12264,12263,Eletrônica,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12265,12264,Expedida/certificada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12266,12264,Confirmada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12267,12263,Em audiência,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12268,12263,Em Secretaria,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12269,48,Desentranhamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12270,12269,Documento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12271,12269,Petição,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12272,12198,Declinada a competência,,,X,,X,,X,X,,X,,X,X,X,,X,,,X,X,X,X,
12273,12198,Convertido em diligência,X,,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,
12274,12198,Sobrestado,X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,
12275,12198,Retificado,X,,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,
12276,48,Cumprimento da pena,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12277,12276,Início,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12278,12276,Fim,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12280,12276,Interrupção,,,,X,,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12281,48,Comunicação eletrônica,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12282,12281,Expedida/Certificada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12283,12281,Confirmada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12284,48,Citação,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12285,12284,Em Secretaria/Comparecimento Espontâneo,,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X,
12286,12284,Eletrônica,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12287,12286,Expedida/Certificada,,X,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X,
12288,12286,Confirmada,,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X,
12289,48,Cancelamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12290,12289,Documento Expedido,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12291,12289,Movimentação processual,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12292,48,Ato cumprido pela parte ou interessado,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12293,12292,Ato cumprido pela parte ou interessado (sem atributo),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
12294,12292,Comparecimento do Réu/Apenado,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
12295,12292,Depósito de Bens/Dinheiro,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,
12296,18,Registro Processual,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
12297,18,Atribuição de competência,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
12298,456,Cancelamento de Dívida Ativa,,,,X,,X,X,,X,,X,,,,,,,,,,,,
12299,3,Prorrogação de cumprimento de pena/medida de segurança,,,,X,,,X,,X,,X,,,,X,,X,,,,,,
12300,3,Nomeação,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12301,12300,Advogado Voluntário,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12302,12300,Curador,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12303,12300,Defensor Dativo,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
12304,12300,Intérprete/Tradutor,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12305,12300,Outros auxiliares de justiça,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12306,12300,Perito,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12307,3,Decretação de revelia,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12308,817,Substituição/Sucessão da Parte,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,
12309,12103,Retirada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12310,11009,Pauta,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12311,12310,Pedido de inclusão,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12312,12310,Retirar pedido de inclusão,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12313,12310,Pedido de Inclusão em Pauta de Sessão Virtual,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12314,12310,Pedido de Retirada de Pauta de Sessão Virtual,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12315,48,Devolvidos os autos,,X,,,,,,,,,,,,,,,,,,,,,
12316,48,Notificação Inicial,,X,,,,,,,,,,,,,,,,,,,,,
12317,48,Notificação inicial com liminar,,X,,,,,,,,,,,,,,,,,,,,,
12318,3,Reconhecimento de prevenção,,X,,,,,,,,,,,,,,,,X,X,X,,X,
12319,218,Não conhecimento do pedido,,X,X,,,,,,,X,,X,X,,,,,,,,,X,
12320,3,Denegação de prevenção,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12321,385,Parecer,,X,,,,,,,,,,,,,,,,,,,,,
12322,12321,Favorável,,X,,,,,,,,,,,,,,,,,,,,,
12323,12321,Favorável em parte,,X,,,,,,,,,,,,,,,,,,,,,
12324,12321,Desfavorável,,X,,,,,,,,,,,,,,,,,,,,,
12325,456,Perda do objeto,,X,,X,X,X,X,X,,,,,,X,X,X,X,,,,X,X,
12326,385,Consulta,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12327,12326,Respondida,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12328,12326,Respondida em parte,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12329,385,Pedido conhecido em parte e procedente,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12330,385,Pedido conhecido em parte e procedente em parte,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12331,385,Pedido conhecido em parte e improcedente,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12332,3,Prorrogado prazo de conclusão,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12359,3,Liminar Prejudicada,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12387,3,Decisão de Saneamento e Organização,X,X,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X,
12421,1013,Juízo provisório para medidas urgentes,,,,,X,,,,,X,,,,,,,,,,,X,X,
12422,1013,Devolução da carta rogatória ao juízo rogante,,,,,,,,,,,,,,,,,,,,,,X,
12425,3,Unificação de Medidas Socioeducativas,,,,X,X,,,,,,,,,,,,,,,,X,X,
12427,207,Agravo em recurso especial ,,,,,,,,,,,,,,,,,,,,,,X,
12428,206,Reclamação,,,,,X,,,,,X,,,,X,,X,,,X,X,X,X,
12429,206,Embargos de Divergência,,,,,,,,,,,,,,,,,,,,,X,X,
12430,1013,Arquivamento,,X,,X,X,X,X,X,,X,,,,X,X,X,,,,X,X,X,
12431,206,Embargos ,,,,X,X,,,,X,X,,,,,,X,,,,,,X,
12432,3,Afetação,,,,,,,,,,,,,,,,,,,,X,,X,
12433,385,Conjunto Agravo e Recurso Especial,,,,,,,,,,,,,,,,,,,,,,X,
12434,12433,Conhecimento para dar provimento ao Recurso Especial ,,,,,,,,,,,,,,,,,,,,,,X,
12435,12433,Conhecimento para negar provimento ao recurso especial,,,,,,,,,,,,,,,,,,,,,,X,
12436,12433,Conhecimento para não conhecer do Recurso Especial,,,,,,,,,,,,,,,,,,,,,,X,
12437,12433,Conhecimento para determinar sua autuação como Recurso Especial,,,,,,,,,,,,,,,,,,,,,,X,
12438,12433,conhecimento para dar parcial provimento ao recurso especial,,,,,,,,,,,,,,,,,,,,,,X,
12439,12433,conhecimento para conhecer em parte o recurso especial e dar provimento ,,,,,,,,,,,,,,,,,,,,,,X,
12440,12433,conhecimento para conhecer em parte o recurso especial e negar provimento,,,,,,,,,,,,,,,,,,,,,,X,
12441,12433,Conhecimento para conhecer o recurso especial,,,,,,,,,,,,,,,,,,,,,,X,
12442,12433,conhecimento para conhecer em parte o recurso especial ,,,,,,,,,,,,,,,,,,,,,,X,
12443,12433,conhecimento em parte para dar provimento ao recurso especial,,,,,,,,,,,,,,,,,,,,,,X,
12444,3,deferimento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12445,206,Recurso Ordinário,,,,,,,,,,,,,,,,X,,,,,X,X,
12446,206,Afetação tornada sem efeito,,,,,,,,,,,,,,,,,,,,,X,X,
12448,1013,Demonstração de existência de repercussão geral e manifestação sobre a questão constitucional,,,,,,,,,,,,,,,,,,,,,X,X,
12449,11010,expedição de alvará de levantamento,,X,,X,X,,X,X,X,X,,,,,,,,,,,X,X,
12450,385,impugnação à execução,,,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
