cdigo,cd_pai,nome,CJF,CNJ,FTR,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTRU,JME,JME1,JMU,JMU1,JT1G,JT2G,JTTST,STF,STJ,TEU
112,105,Ofício,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
113,3,Decretação de Prisão Civil,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,X,
115,104,Recebimento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
117,3,Decretação de Internação,,,,X,X,,,,,,,,,,,,,,,,,X,
118,48,Protocolo de Petição,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
122,3,Desacolhimento de Prisão,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
123,48,Remessa,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
128,157,Prisão,,,,X,X,,,,X,X,X,,,X,X,X,X,X,X,X,,X,
132,48,Recebimento,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
133,3,Acolhimento de exceção,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
135,48,Apensamento,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
137,48,Desapensamento,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
138,3,Rejeição,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
146,3,Não-Homologação de prisão em flagrante,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
151,3,Concessão de efeito suspensivo,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,,X,X,X,
157,3,Revogação,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
160,3,Recebimento,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
163,3,Não-Recebimento,X,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
172,3,Deliberação da partilha,,,,X,,,,,,,,,,,,,,,,,,,
175,378,Prisão em flagrante,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,,X,
190,3,Reforma de decisão anterior,,X,,X,X,X,X,X,,,,,,X,X,X,,X,,,X,,
193,1,Julgamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
196,385,Extinção da execução ou do cumprimento da sentença,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,X,
198,385,Acolhimento de Embargos de Declaração,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X
200,385,Não-Acolhimento de Embargos de Declaração,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X
202,385,Decretação de falência,,,,X,,,,,,,,,,,,,,,,,,,
206,3,Admissão,,,X,X,X,,,X,X,X,,X,X,X,,X,,,X,X,X,X,
207,3,Não-Admissão,,,X,X,X,,,X,X,X,,X,X,X,,X,,,X,X,X,X,
208,385,Não-Decretação de Falência,,,,X,,,,,,,,,,,,,,,,,,,
210,385,Concessão,,X,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,
212,385,Denegação,,,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,
214,385,Concessão em Parte,,,X,X,X,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,
218,193,Sem Resolução de Mérito,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
219,385,Procedência,,X,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X,
220,385,Improcedência,,X,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X,
221,385,Procedência em Parte,,X,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X,
228,218,Arquivamento,,,,,,,,,,,,,,,,,,X,,,,,
230,218,Recurso prejudicado,,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
235,218,Não Conhecimento de recurso,,X,X,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,X,X,X
236,218,Negação de Seguimento,,X,X,,X,,,X,,X,,,X,X,X,X,,,X,X,X,X,X
237,385,Provimento,,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
238,385,Provimento em Parte,,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
239,385,Não-Provimento,,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
240,385,Conhecimento em Parte e Provimento ou Concessão,,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
241,385,Conhecimento em Parte e Provimento em Parte ou Concessão em Parte,,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
242,385,Conhecimento em Parte e Não-Provimento ou Denegação,,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
244,218,Conversão de Agravo de Instrumento em Agravo Retido,,,,,X,,,,,X,,,,X,,,,,,,,,
245,861,Provisório,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,,,X
246,861,Definitivo,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
