Código,Cód. Pai,nome,JFTNU
12101,48,Inclusão do processo para julgamento eletrônico,X
14736,48,Inclusão no Juízo 100% Digital,X
12263,48,Intimação,X
12264,12263,Eletrônica,X
12266,12264,Confirmada,X
12265,12264,Expedida/certificada,X
12267,12263,Em audiência,X
12268,12263,Em Secretaria,X
14974,48,Levantamento da Causa Suspensiva ou de Sobrestamento,X
15414,14974,Ação Coletiva,X
14982,14974,Suspensão/Sobrestamento Determinada por Ação de Controle Concentrado de Constitucionalidade - STF,X
14981,14974,Suspensão/Sobrestamento Determinada por Controvérsia,X
14977,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR,X
14978,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STJ - SIRDR,X
14980,14974,Suspensão/Sobrestamento Determinada por Grupo de Representativos,X
14979,14974,Suspensão/Sobrestamento Determinada por Incidente de Assunção de Competência - IAC,X
14985,14974,Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas,X
14976,14974,Suspensão/Sobrestamento por Recurso Especial Repetitivo,X
14975,14974,Suspensão/Sobrestamento por Recurso Extraordinário com Repercussão Geral,X
15417,48,Migração de Sistema Eletrônico,X
12143,48,Mudança de Assunto Processual,X
12142,48,Mudança de Parte,X
12103,48,Pauta,X
12106,12103,Adiamento do Julgamento para a Primeira Sessão Seguinte,X
12104,12103,Inclusão em pauta,X
12115,12104,Para Julgamento,X
12105,12103,Inclusão em Pauta de Sessão Virtual,X
12309,12103,Retirada,X
14901,48,Perícia,X
14904,14901,Agendada,X
14906,14901,Cancelada,X
14903,14901,Determinada/Designada,X
14908,14901,Não Realizada,X
14907,14901,Reagendada,X
14905,14901,Realizada,X
12759,48,Realização de Procedimento Restaurativo,X
12623,48,Recebimento de Câmara de Conciliação/Mediação,X
12619,48,Recebimento do CEJUSC ou Centros de Conciliação/Mediação,X
12621,48,Recebimento no CEJUSC ou Centros de Conciliação/Mediação,X
12618,48,Remessa CEJUSC,X
12622,48,Remessa para Câmara de Conciliação/Mediação,X
12614,48,Remessa para o CEJUSC ou Centros de Conciliação/Mediação,X
12165,48,Requisição de Pagamento,X
12173,12165,Pequeno Valor,X
12177,12173,Cancelada,X
12174,12173,Enviada ao Tribunal,X
12175,12173,Preparada para Envio,X
12178,12173,Retificada,X
12179,12173,Suspensão,X
12166,12165,Precatório,X
12170,12166,Cancelada,X
12167,12166,Enviada ao Tribunal,X
12168,12166,Preparada para Envio,X
12171,12166,Retificado,X
12172,12166,Suspensão,X
14738,48,Retificação de Classe Processual,X
11983,48,Retificação de movimento,X
104,14,Oficial de Justiça,X
115,104,Recebimento,X
