Código,Cód. Pai,nome,TEU
15408,218,Não Conhecimento de Embargos de Declaração,X
235,218,Não Conhecimento de recurso,X
236,218,Negação de Seguimento,X
230,218,Recurso prejudicado,X
14092,1,Voto,X
14094,14092,Voto Divergente Vencedor,X
14,,Serventuário ,X
865,14,Arquivista,X
870,865,Autos Eliminados,X
869,865,Entrega definitiva dos autos,X
866,865,Guarda Intermediária,X
867,865,Guarda Permanente,X
977,865,Recebimento,X
978,865,Remessa,X
12522,14,Auxiliar da Justiça,X
12523,12522,Conciliador,X
12528,12523,Conciliação,X
12608,12528,Parcial,X
12524,12522,Juiz Leigo,X
12533,12530,Frutífera,X
12534,12530,Infrutífera,X
12609,12530,Parcial,X
12529,12524,Decisão,X
15,14,Contador,X
979,15,Recebimento,X
980,15,Remessa,X
18,14,Distribuidor,X
22,18,Baixa Definitiva,X
26,18,Distribuição,X
981,18,Recebimento,X
36,18,Redistribuição,X
982,18,Remessa,X
48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico,X
12102,48,"Adiamento do julgamento (CPC, art. 935)",X
135,48,Apensamento,X
861,48,Arquivamento,X
246,861,Definitivo,X
245,861,Provisório,X
11383,48,Ato ordinatório,X
970,48,Audiência,X
12750,970,de Instrução e Julgamento,X
12751,970,de Julgamento,X
12260,48,Autos restaurados,X
12284,48,Citação,X
12286,12284,Eletrônica,X
15246,12286,Não Confirmada,X
51,48,Conclusão,X
15186,48,Cooperação Judiciária,X
12065,48,Cumprimento de Suspensão ou Sobrestamento,X
1051,48,Decurso de Prazo,X
873,48,Deliberação em Sessão,X
12198,48,Deliberado em Sessão,X
12203,12198,Adiado,X
15021,12198,Destaque para Julgamento Presencial,X
12199,12198,Julgado,X
12201,12199,Liminar,X
12200,12199,Mérito,X
12202,12199,Questão de Ordem,X
12204,12198,Pedido de Vista,X
137,48,Desapensamento,X
893,48,Desarquivamento,X
11008,48,Desmembramento de Feitos,X
1061,48,Disponibilização no Diário da Justiça Eletrônico,X
493,48,Entrega em carga/vista,X
14739,48,Evolução da Classe Processual,X
60,48,Expedição de documento,X
417,48,Inclusão em pauta,X
67,48,Juntada,X
581,67,Documento,X
85,67,Petição,X
14974,48,Levantamento da Causa Suspensiva ou de Sobrestamento,X
15414,14974,Ação Coletiva,X
14982,14974,Suspensão/Sobrestamento Determinada por Ação de Controle Concentrado de Constitucionalidade - STF,X
14981,14974,Suspensão/Sobrestamento Determinada por Controvérsia,X
14977,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR,X
14978,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STJ - SIRDR,X
14980,14974,Suspensão/Sobrestamento Determinada por Grupo de Representativos,X
14979,14974,Suspensão/Sobrestamento Determinada por Incidente de Assunção de Competência - IAC,X
15417,48,Migração de Sistema Eletrônico,X
12103,48,Pauta,X
12106,12103,Adiamento do Julgamento para a Primeira Sessão Seguinte,X
12105,12103,Inclusão em Pauta de Sessão Virtual,X
14901,48,Perícia,X
118,48,Protocolo de Petição,X
92,48,Publicação,X
849,48,Reativação,X
132,48,Recebimento,X
12623,48,Recebimento de Câmara de Conciliação/Mediação,X
123,48,Remessa,X
12622,48,Remessa para Câmara de Conciliação/Mediação,X
12614,48,Remessa para o CEJUSC ou Centros de Conciliação/Mediação,X
928,48,Republicação,X
12165,48,Requisição de Pagamento,X
12173,12165,Pequeno Valor,X
12177,12173,Cancelada,X
12174,12173,Enviada ao Tribunal,X
12176,12173,Paga,X
12175,12173,Preparada para Envio,X
12178,12173,Retificada,X
12179,12173,Suspensão,X
12166,12165,Precatório,X
12170,12166,Cancelada,X
12167,12166,Enviada ao Tribunal,X
12168,12166,Preparada para Envio,X
12171,12166,Retificado,X
12172,12166,Suspensão,X
14738,48,Retificação de Classe Processual,X
11983,48,Retificação de movimento,X
897,48,Retirada de pauta,X
848,48,Trânsito em julgado,X
104,14,Oficial de Justiça,X
105,104,Devolução,X
106,105,Mandado,X
112,105,Ofício,X
115,104,Recebimento,X
985,115,Mandado,X
987,115,Ofício,X
