Código,Cód. Pai,nome,JT2G
12258,385,Emissão de juízo de retratação pelo Órgão Julgador,X
196,385,Extinção da execução ou do cumprimento da sentença,X
14099,385,Homologação de Acordo em Execução ou em Cumprimento de Sentença,X
466,385,Homologação de Transação,X
220,385,Improcedência,X
200,385,Não-Acolhimento de Embargos de Declaração,X
239,385,Não-Provimento,X
901,385,Negação de seguimento,X
219,385,Procedência,X
11795,385,Procedência do Pedido - Reconhecimento pelo réu,X
221,385,Procedência em Parte,X
471,385,Pronúncia de Decadência ou Prescrição,X
237,385,Provimento,X
972,385,Provimento (art. 557 do CPC),X
238,385,Provimento em Parte,X
455,385,Renúncia ao direito pelo autor,X
218,193,Sem Resolução de Mérito,X
11373,218,Anulação de sentença/acórdão,X
456,218,Extinção,X
458,456,Abandono da causa,X
464,456,Ação intransmissível,X
461,456,Ausência das condições da ação,X
459,456,Ausência de pressupostos processuais,X
465,456,Confusão entre autor e réu,X
12256,456,Continência,X
462,456,Convenção de arbitragem,X
463,456,Desistência,X
454,456,Indeferimento da petição inicial,X
457,456,Paralisação por negligência das partes,X
460,456,"Perempção, litispendência ou coisa julgada",X
12617,456,Renúncia,X
15408,218,Não Conhecimento de Embargos de Declaração,X
235,218,Não Conhecimento de recurso,X
12458,218,Não conhecimento do habeas corpus,X
236,218,Negação de Seguimento,X
230,218,Recurso prejudicado,X
14,,Serventuário ,X
865,14,Arquivista,X
870,865,Autos Eliminados,X
869,865,Entrega definitiva dos autos,X
866,865,Guarda Intermediária,X
867,865,Guarda Permanente,X
977,865,Recebimento,X
978,865,Remessa,X
12522,14,Auxiliar da Justiça,X
12523,12522,Conciliador,X
12528,12523,Conciliação,X
12531,12528,Frutífera,X
12532,12528,Infrutífera,X
12608,12528,Parcial,X
12525,12522,Mediador,X
12527,12525,Mediação,X
12540,12527,Frutífera,X
12539,12527,Infrutífera,X
12611,12527,Parcial,X
15,14,Contador,X
16,15,Cálculo,X
480,16,Atualização de conta,X
478,16,Cálculo de Liquidação,X
479,16,Custas,X
481,16,Tributos,X
979,15,Recebimento,X
980,15,Remessa,X
18,14,Distribuidor,X
22,18,Baixa Definitiva,X
488,18,Cancelamento de Distribuição,X
26,18,Distribuição,X
981,18,Recebimento,X
36,18,Redistribuição,X
982,18,Remessa,X
48,14,Escrivão/Diretor de Secretaria/Secretário Jurídico,X
12102,48,"Adiamento do julgamento (CPC, art. 935)",X
135,48,Apensamento,X
861,48,Arquivamento,X
246,861,Definitivo,X
245,861,Provisório,X
12292,48,Ato cumprido pela parte ou interessado,X
12295,12292,Depósito de Bens/Dinheiro,X
11383,48,Ato ordinatório,X
970,48,Audiência,X
14096,970,Audiência Pública,X
12740,970,de Conciliação,X
12749,970,de Instrução,X
12750,970,de Instrução e Julgamento,X
12751,970,de Julgamento,X
12744,970,de Justificação,X
12752,970,de Mediação,X
12746,970,em Execução,X
12747,970,Inicial,X
12753,970,Preliminar,X
12260,48,Autos restaurados,X
12289,48,Cancelamento,X
15101,12289,Conclusão,X
12290,12289,Documento Expedido,X
12291,12289,Movimentação processual,X
12284,48,Citação,X
12286,12284,Eletrônica,X
12288,12286,Confirmada,X
12287,12286,Expedida/Certificada,X
15246,12286,Não Confirmada,X
12285,12284,Em Secretaria/Comparecimento Espontâneo,X
12281,48,Comunicação eletrônica,X
12283,12281,Confirmada,X
14961,12281,Erro ou Recusa na Comunicação,X
12282,12281,Expedida/Certificada,X
51,48,Conclusão,X
14732,48,Conversão de Autos Físicos em Eletrônicos,X
15186,48,Cooperação Judiciária,X
12066,48,Cumprimento de Levantamento da Suspensão ,X
12065,48,Cumprimento de Suspensão ou Sobrestamento,X
1051,48,Decurso de Prazo,X
873,48,Deliberação em Sessão,X
12198,48,Deliberado em Sessão,X
12203,12198,Adiado,X
12273,12198,Convertido em diligência,X
12272,12198,Declinada a competência,X
15021,12198,Destaque para Julgamento Presencial,X
12199,12198,Julgado,X
12201,12199,Liminar,X
12200,12199,Mérito,X
12202,12199,Questão de Ordem,X
12204,12198,Pedido de Vista,X
12275,12198,Retificado,X
12205,12198,Retirado,X
12274,12198,Sobrestado,X
137,48,Desapensamento,X
893,48,Desarquivamento,X
12269,48,Desentranhamento,X
12270,12269,Documento,X
12271,12269,Petição,X
11008,48,Desmembramento de Feitos,X
14091,48,Devolvidos os autos após Pedido de Vista,X
1061,48,Disponibilização no Diário da Justiça Eletrônico,X
12189,48,Entrega de Documento,X
493,48,Entrega em carga/vista,X
14739,48,Evolução da Classe Processual,X
14737,48,Exclusão do Juízo 100% Digital,X
11385,48,Execução/Cumprimento de Sentença Iniciada (o),X
60,48,Expedição de documento,X
12101,48,Inclusão do processo para julgamento eletrônico,X
417,48,Inclusão em pauta,X
14736,48,Inclusão no Juízo 100% Digital,X
12263,48,Intimação,X
12264,12263,Eletrônica,X
12266,12264,Confirmada,X
12265,12264,Expedida/certificada,X
12267,12263,Em audiência,X
12268,12263,Em Secretaria,X
67,48,Juntada,X
581,67,Documento,X
85,67,Petição,X
14974,48,Levantamento da Causa Suspensiva ou de Sobrestamento,X
15414,14974,Ação Coletiva,X
14982,14974,Suspensão/Sobrestamento Determinada por Ação de Controle Concentrado de Constitucionalidade - STF,X
14981,14974,Suspensão/Sobrestamento Determinada por Controvérsia,X
14977,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR,X
14978,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STJ - SIRDR,X
14983,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do TST - SIRDR,X
14980,14974,Suspensão/Sobrestamento Determinada por Grupo de Representativos,X
