Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JMU1G
5882,3438,Lei 9.279/96,Arts. 192 a 194,2008-09-30 15:52:52,,,,Crimes contra Indicações Geeográficas e Demais Indicações,X
5879,3438,Lei 9.279/96,art 187 a 188,2008-09-30 15:52:52,,,,Crimes contra os Desenhos Industriais,X
5878,3438,Lei 9.279/96,art. 183 a 186,2008-09-30 15:52:52,,,,Crimes contra Patente de Invenção,X
5883,3438,Lei 9.279/96,Art. 195,2008-09-30 15:52:52,,,,Crimes de Concorrência Desleal,X
3611,3603,Lei 7.170/83,Arts. 8º a 29,2008-09-30 15:52:52,2022-07-01 14:29:34,,,"Crimes contra a Segurança Nacional, a Ordem Política e Social",X
3616,3603,Lei 8.137/90 e Lei 8.078/90,Art. 7º e arts.61 a 80,2008-09-30 15:52:52,,,,Crimes contra as Relações de Consumo,X
3629,3603,Lei 9.472/97,Art. 183,2008-09-30 15:52:52,,,,Crimes contra as Telecomunicações,X
3618,3603,Lei 9.605/98,Arts. 29 a 69A,2008-09-30 15:52:52,,,,Crimes contra o Meio Ambiente e o Patrimônio Genético,X
3622,3618,Lei 9.605/1998 e Lei 7.802/1989,56 (Lei 9.605/1998); 15 (Lei 7.802/1989),2008-09-30 15:52:52,,,,Agrotóxicos ,X
3623,3618,Lei 6.453/1977,20 a 27,2008-09-30 15:52:52,,,,Atividades Nucleares ,X
14805,3623,Lei 6.453/1977,23,2021-09-29 00:00:00,,,,Atos Contra a Segurança por Violação de Sigilo,X
14804,3623,Lei 6.453/1977,21 e 26,2021-09-29 00:00:00,,,,Outros Atos que Potencialmente Causam Poluição ou Degradação por Radiação,X
14803,3623,Lei 6.453/1977,"20, 22, 24 e 25",2021-09-29 00:00:00,,,,Tráfico de Material Nuclear,X
3624,3618,Lei 6.453/77,art. 29,2008-09-30 15:52:52,2021-09-29 11:24:23,,,Caça ,X
10516,3618,Lei nº 11.105/2005,Art. 26,2008-09-30 15:52:52,2021-09-29 11:32:59,,,Clonagem Humana - Biossegurança,X
10986,3618,Lei 9.605/1998,66 a 69-A,2009-05-28 00:00:00,,,,Crime contra a administração ambiental,X
14800,10986,Lei 9.605/1998,66 e 67,2021-09-29 00:00:00,,,,Ato ou Omissão Praticado por Funcionário Público em Abuso de Função,X
14801,10986,Lei 9.605/1998,69,2021-09-29 00:00:00,,,,Atos Contrários à Fiscalização e ao Sistema de Aplicação da Lei,X
14802,10986,Lei 9.605/1998,69-A,2021-09-29 00:00:00,,,,Falsidade,X
3619,3618,Lei 9.605/1998 e Lei 7.643/1987,29 a 37 (Lei 9.605/1998); 1º (Lei 7.643/1987),2008-09-30 15:52:52,,,,Crimes contra a Fauna,X
14779,3619,Lei 9.605/1998,"29, caput e § 1º, I e II",2021-09-28 00:00:00,,,,Caça Ilegal e Condutas Equiparadas,X
14780,3619,Lei 9605/1998,"29, §1º, III e 30",2021-09-28 00:00:00,,,,"Comércio, Posse ou Tráfico Proveniente de Caça Ilegal",X
14785,3619,Lei 9605/1998,"Art. 34, parágrafo único, III",2021-09-28 00:00:00,,,,"Comércio, Posse ou Tráfico Proveniente de Pesca Ilegal",X
14783,3619,Lei 9605/1998,"33, caput e parágrafo único, I, II e III",2021-09-28 00:00:00,,,,"Fauna Aquática Afetada por Traslado ou Descarte de Resíduos/Efluentes, ou Poluição ou Degradação da Água",X
14781,3619,Lei 9605/1998,31,2021-09-28 00:00:00,,,,Importação Ilegal de Espécies Proibidas ou Controladas,X
14782,3619,Lei 9605/1998,32,2021-09-28 00:00:00,,,,Maus Tratos,X
14784,3619,Lei 9605,"34, caput e parágrafo único, I e II e 35, I e II",2021-09-28 00:00:00,,,,Pesca Ilegal,X
3620,3618,Lei 9.605/98,Art. 38 a 52,2008-09-30 15:52:52,,,,Crimes contra a Flora,X
14790,3620,Lei 9605/1998,46,2021-09-28 00:00:00,,,,Comércio ou Posse Proveniente de Extração Ilegal de Madeira ,X
14792,3620,Lei 9605/1998,49,2021-09-28 00:00:00,,,,Dano à Propriedade,X
14786,3620,Lei 9605/1998,"38, caput e parágrafo único, 38-A, 40, caput e § 3º, 48, 50,",2021-09-28 00:00:00,,,,Destruição ou Degradação,X
14788,3620,Lei 9605/1998,50-A,2021-09-28 00:00:00,,,,Destruição ou Degradação Mediante Desmatamento ou Exploração Econômica,X
14787,3620,Lei 9605/1998,41 e 42,2021-09-28 00:00:00,,,,Destruição ou Degradação por Incêndio ou Perigo de Incêndio,X
14789,3620,Lei 9605/1998,"39, 45 e 51",2021-09-28 00:00:00,,,,Extração ou Exploração Ilegal de Madeira e Condutas Equiparadas,X
14791,3620,Lei 9605/1998,44,2021-09-28 00:00:00,,,,Mineração Ilegal em Floresta,X
14793,3620,Lei 9605/1998,52,2021-09-28 00:00:00,,,,Outros Atos Contra o Meio Ambiente,X
11780,3618,Lei 9605/98,62 a 65,2010-08-17 00:00:00,2010-08-17 12:10:53,,,Crimes contra o Ordenamento Urbano e o Patrimônio Cultural,X
3626,3618,Lei nº 11.105/2005,Art. 27,2008-09-30 15:52:52,2021-09-29 11:31:50,,,Liberação ou Descarte de OGM (Organismo Geneticamente Modificado) - Biossegurança,X
3627,3618,"Lei nº 5.197/67, Lei nº 7.643/87, Lei 7.679/88, DL 221/67","Lei 5197, art. 27, §3º",2008-09-30 15:52:52,2021-09-29 11:24:16,,,Pesca ,X
3621,3618,Lei 9.605/98,Art. 54 a 61,2008-09-30 15:52:52,2021-09-29 10:48:34,,,Poluição,X
14798,3621,Lei 9.605/1998,60,2021-09-29 00:00:00,,,,"Estabelecimentos, Obras ou Serviços Potencialmente Poluidores",X
14795,3621,Lei 9.605/1998,55,2021-09-29 00:00:00,,,,Mineração Ilegal,X
14799,3621,Lei 9.605/1998,61,2021-09-29 00:00:00,,,,Outros Atos Contra o Meio Ambiente,X
14796,3621,Lei 9.605/1998,"56, caput",2021-09-29 00:00:00,2021-09-29 10:53:08,,,"Posse ou Uso, ou Tráfico de Substância Tóxica ou Perigosa",X
14797,3621,Lei 9.605/1998,"56, § 1º, I e II",2021-09-29 00:00:00,,,,Traslado ou Descarte de Resíduos de Substância Tóxica ou Perigosa,X
14794,3621,Lei 9.605/1998,"54, § 2º, V",2021-09-29 00:00:00,,,,Traslado ou Descarte de Resíduos/Efluentes,X
10515,3618,Lei nº 11.105/2005,Art. 25,2008-09-30 15:52:52,2021-09-29 11:32:12,,,"Prática de engenharia genética em célula germinal, zigoto ou embrião humanos - Biossegurança",X
10514,3618,Lei nº 11.105/2005,Art. 24,2008-09-30 15:52:52,2021-09-29 11:32:32,,,Utilização de Embrião Humano em Desacordo com a Legislação - Biossegurança,X
