Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,CNJ
8883,8826,,,2008-09-30 15:52:52,,,,Órgãos Judiciários e Auxiliares da Justiça,X
8884,8883,,,2008-09-30 15:52:52,,,,Do Juiz,X
10660,8884,CPC,144,2008-09-30 15:52:52,,,,Impedimento,X
12415,8884,CPC,139 a 143,2018-11-23 00:00:00,,,,"Poderes, Deveres e Responsabilidades do Juiz",X
10659,8884,CPC,145,2008-09-30 15:52:52,,,,Suspeição,X
14,,,,,,,,DIREITO TRIBUTÁRIO,X
6017,14,CF 1988 ; CTN ; L 6.830/1980,"131, § 3º ; 201",2008-09-30 15:52:52,2021-09-30 17:02:08,,,Dívida Ativa (Execução Fiscal),X
10887,6017,,,2008-09-30 15:52:52,,,,Ausência de Cobrança Administrativa Prévia,X
10923,6017,,,2008-09-30 15:52:52,,,,Cobrança de Juros Moratórios de Massa Falida,X
10922,6017,,,2008-09-30 15:52:52,,,,Cobrança de Multa Moratória de Massa Falida,X
12467,,Portaria Conjunta CNJ e CNMP nº 1/2019,"2º, I a V",,,,,"QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO",X
12468,12467,Portaria Conjunta CNJ e CNMP nº 1/2019,"2º, I a V",2019-03-06 00:00:00,2023-03-31 17:12:50,,,Barragem em Brumadinho,X
12470,12467,Portaria Conjunta CNJ e CNMP nº 1/2019,"2º, I a V",2019-03-06 00:00:00,2023-03-31 17:14:01,,,Barragem em Mariana,X
15365,12467,"Decreto Legislativo 36/2024, de 7/5/2024 e Portaria Conjunta CNJ e CNMP nº 1/2019","1° (DL 36/2024); 2º, I a V (Portaria 1/2019)",2024-05-09 14:19:38,,,,Enchentes no Rio Grande do Sul em 2024,X
14679,12467,Portaria Conjunta CNJ e CNMP nº 1/2019,2º,2021-05-18 00:00:00,2022-06-10 16:17:03,,,Explosão da Fábrica de Fogos de Santo Antônio de Jesus/BA,X
12469,12467,Portaria CNJ e CNMP nº 1/2019,"2º, I a V",2019-03-06 00:00:00,2023-03-31 17:11:13,,,Incêndio Boate Kiss,X
12620,12467,Portaria Conjunta CNJ e CNMP nº 1/2019,,2020-03-26 00:00:00,,,,Migrantes e Refugiados,X
14125,12467,Lei 13.709/2018,1º,2021-01-18 00:00:00,2021-01-20 09:15:45,,,Proteção de Dados Pessoais (LGPD),X
