Código,Cód. Pai,nome,JE1G
385,,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS ,X
386,385,Execução da Pena,X
11399,385,Execução de Medida de Segurança,X
12729,385,Execução de Medidas Alternativas no Juízo Comum,X
12727,385,Execução de Pena de Multa,X
1714,385,Execução Provisória,X
406,385,Incidentes,X
409,406,Anistia,X
411,406,Comutação de Pena,X
407,406,Conversão de Pena,X
408,406,Excesso ou Desvio,X
410,406,Indulto,X
12128,406,Livramento Condicional,X
12129,406,Outros Incidentes de Execução Iniciados de Ofício,X
12125,406,Progressão de Regime,X
12126,406,Regressão de Regime,X
12127,406,Remição,X
11957,406,Remição de Pena,X
12123,406,Roteiro de Pena,X
1283,406,Superveniência de doença mental,X
1288,406,Transferência entre estabelecimentos penais,X
1284,406,Unificação de penas,X
12728,385,Transferência Entre Estabelecimentos Penais,X
1198,,PROCEDIMENTOS ADMINISTRATIVOS ,X
12248,1198,Pedido de Cooperação Judiciária,X
1199,1198,Pedido de Providências,X
1298,1198,Processo Administrativo,X
1262,1198,Processo Administrativo Disciplinar em face de Servidor,X
1301,1198,Reclamação Disciplinar,X
1308,1198,Sindicância,X
547,,PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE ,X
15195,547,Seção Administrativa,X
15196,15195,Inspeção,X
14676,15195,Pedido de Inclusão no Cadastro de Programa de Apadrinhamento,X
1385,547,Seção Cível,X
1450,1385,Cartas,X
1451,1450,Carta de Ordem Infância e Juventude,X
1455,1450,Carta Precatória Infância e Juventude,X
10969,1385,Incidentes,X
10971,10969,Exceções,X
10975,10971,Exceção de Impedimento Infância e Juventude,X
10976,10971,Exceção de Incompetência Infância e Juventude,X
10977,10971,Exceção de Suspeição Infância e Juventude,X
10972,10969,Exibição de Documento ou Coisa Infância e Juventude,X
10973,10969,Impugnação ao Valor da Causa Infância e Juventude,X
10974,10969,Incidente de Falsidade Infância e Juventude,X
12386,10969,Incidente de Impedimento Infância e Juventude,X
12388,10969,Incidente de Suspeição Infância e Juventude,X
11026,1385,Petição Infância e Juventude Cível,X
1386,1385,Processo de Conhecimento,X
1690,1386,Ação Civil Pública Infância e Juventude,X
1389,1386,Ação de Alimentos de Infância e Juventude,X
1401,1386,Adoção,X
15192,1401,Adoção Fora do Cadastro,X
15193,1401,Adoção Fora do Cadastro c/c Destituição do Poder Familiar,X
15191,1401,Adoção pelo Cadastro,X
1412,1386,Adoção c/c Destituição do Poder Familiar,X
1392,1386,Apuração de Infração Administrativa às Normas de Proteção à Criança ou Adolescente,X
1391,1386,Apuração de Irregularidades em Entidades de Atendimento,X
1703,1386,Autorização judicial,X
15190,1386,Destituição do Poder Familiar,X
1415,1386,Emancipação,X
1704,1386,Embargos de Terceiro Infância e Juventude,X
15140,1386,Entrega Voluntária,X
12230,1386,Guarda c/c destituição do poder familiar,X
1420,1386,Guarda de Infância e Juventude,X
10933,1386,Habilitação para Adoção,X
1691,1386,Mandado de Segurança Infância e Juventude Cível,X
12070,1386,Pedido de Medida de Proteção,X
1426,1386,Perda ou Suspensão do Poder Familiar,X
1425,1386,Prestação de Contas Infância e Juventude,X
1706,1386,Procedimento Comum Infância e Juventude,X
1424,1386,Providência ,X
1417,1386,Regularização de Registro Civil,X
1705,1386,"Remoção, modificação e dispensa de tutor ou curador",X
12076,1386,Restabelecimento do Poder Familiar,X
1390,1386,Revisão Judicial de Decisão do Conselho Tutelar,X
1414,1386,Suprimento de Capacidade ou de Consentimento para Casar,X
15194,1386,Suspensão do Poder Familiar,X
1399,1386,Tutela c/c Destituição do Poder Familiar,X
1396,1386,Tutela Infância e Juventude,X
1430,1385,Processo de Execução,X
1432,1430,Execução de Alimentos Infância e Juventude,X
1434,1430,Execução de Medida de Proteção à Criança e Adolescente,X
1435,1430,Execução de Multa,X
1436,1385,Processos Cautelares,X
1438,1436,Busca e Apreensão Infância e Juventude,X
1440,1436,Cautelar Inominada Infância e Juventude,X
1459,547,Seção Infracional,X
12120,1459,Agravo em Execução de Medidas Sócio-Educativas,X
1473,1459,Cartas,X
1474,1473,Carta de Ordem Infracional,X
1478,1473,Carta Precatória Infracional,X
1465,1459,Execução de Medidas Socioeducativas,X
1472,1465,Advertência ,X
1466,1465,Internação com Atividades Externas,X
1467,1465,Internação sem Atividades Externas,X
1469,1465,Liberdade Assistida,X
1471,1465,Obrigação de Reparar o Dano,X
1470,1465,Prestação de Serviços a Comunidade,X
1468,1465,Semiliberdade,X
10960,1459,Incidente de Sanidade Mental,X
12074,1459,Pedido De Desinternação/Reavaliação/Substituição/Suspensão da Medida,X
10979,1459,Petição Infracional,X
12071,1459,Procedimentos Cautelares,X
12072,12071,Busca e Apreensão Infracional,X
12073,12071,Internação Provisória,X
15172,12071,Medidas de Proteção - Criança e Adolescente (Lei 13.431) Infracionais,X
12424,12071,Medidas de Proteção à Pessoa Idosa - Infracional,X
12423,12071,Medidas Protetivas de Urgência (Lei Maria da Penha) - Infracional,X
15171,12071,Medidas Protetivas de Urgência - Crianças e Adolescentes (Lei Henry Borel - Lei 14.344/2022) Infracionais,X
1460,1459,Procedimentos Investigatórios,X
1461,1460,Auto de Apreensão em Flagrante,X
1463,1460,Boletim de Ocorrência Circunstanciada,X
1462,1460,Relatório de Investigações,X
